country,region,gdp_nominal,year
Curaçao,Americas,—,—
Gambia,Africa,"2,694",2024
Saint Lucia,Americas,"2,582",2024
Lesotho,Africa,"2,395",2024
Eritrea,Africa,—,—
Seychelles,Africa,"2,203",2024
Guinea-Bissau,Africa,"2,151",2024
Antigua and Barbuda,Americas,"2,127",2024
Zanzibar,Africa,—,—
San Marino,Europe,"2,034",2024
East Timor,Asia,"1,992",2024
Solomon Islands,Oceania,"1,707",2024
Sint Maarten,Americas,—,"1,572"
British Virgin Islands,Americas,—,—
Comoros,Africa,"1,422",2024
Grenada,Americas,"1,406",2024
Vanuatu,Oceania,"1,289",2024
Turks and Caicos Islands,Americas,—,"1,139"
Saint Kitts and Nevis,Americas,"1,134",2024
Saint Vincent and the Grenadines,Americas,"1,128",2024
Samoa,Oceania,"1,024",2024
São Tomé and Príncipe,Africa,751,2024
Dominica,Americas,708,2024
Tonga,Oceania,581,2024
Micronesia,Oceania,484,2024
Cook Islands,Oceania,—,—
Kiribati,Oceania,311,2024
Palau,Oceania,308,2024
Marshall Islands,Oceania,305,2024
Anguilla,Americas,—,—
Nauru,Oceania,161,2024
Montserrat,Americas,—,—
Tuvalu,Oceania,66,2024
